type,_algorithm,commodity_name,id,entity_name,Description,Activities,kind,qty_tons,date,flag_country,company,tonnage,length_overall,style,fish_species_present
Entity.Commodity.Fish,,Cod/Gadus n.specificatae,gadusnspecificatae4ba,,,,,,,,,,,,
Entity.Commodity.Fish,,Birdseye/Pisces frigus,piscesfrigus900,,,,,,,,,,,,
Entity.Commodity.Fish,,Sockfish/Pisces foetida,piscesfoetidaae7,,,,,,,,,,,,
Entity.Commodity.Fish,,Wrasse/Labridae n.refert,labridaenrefert9be,,,,,,,,,,,,
Entity.Commodity.Fish,,Beauvoir/Habeas pisces,habeaspisces4eb,,,,,,,,,,,,
Entity.Commodity.Fish,,Harland/Piscis sapidum,piscissapidum9b7,,,,,,,,,,,,
Entity.Commodity.Fish,,Tuna/Thunnini n.vera,thunnininveradb7,,,,,,,,,,,,
Entity.Commodity.Fish,,Offidiaa/Piscis osseus,piscisosseusb6d,,,,,,,,,,,,
Entity.Commodity.Fish,,Salmon/Oncorhynchus rosea,oncorhynchusrosea790,,,,,,,,,,,,
Entity.Commodity.Fish,,Helenaa/Pisces satis,piscessatisb87,,,,,,,,,,,,
Entity.Location.City,,,City of Haacklee,Haacklee,,"['Tourism', 'Local shipping']",city,,,,,,,,
Entity.Location.City,,,City of Lomark,Lomark,,"['Deep sea fishing', 'Commercial fishing', 'Tourism', 'Shipping']",city,,,,,,,,
Entity.Location.City,,,City of Himark,Himark,,"['Recreation, tourism']",city,,,,,,,,
Entity.Location.City,,,City of Paackland,Paackland,,"['Industry', 'Fishing industry', 'Local shipping', 'Tourism', 'Research', 'Sport fishing']",city,,,,,,,,
Entity.Location.City,,,City of South Paackland,South Paackland,,"['Industry', 'Fishing industry', 'Local shipping']",city,,,,,,,,
Entity.Document.DeliveryReport,CatchMate ('arrrr' edition),,cargo_2035_2394778c,,,,,24.375,2035-11-03,,,,,,
Entity.Document.DeliveryReport,CatchMate ('arrrr' edition),,cargo_2035_23956ba0,,,,,18.125,2035-08-16,,,,,,
Entity.Document.DeliveryReport,CatchMate ('arrrr' edition),,cargo_2035_23957cfd,,,,,20.625,2035-08-20,,,,,,
Entity.Document.DeliveryReport,CatchMate ('arrrr' edition),,cargo_2035_23958501,,,,,13.125,2035-11-07,,,,,,
Entity.Document.DeliveryReport,CatchMate ('arrrr' edition),,cargo_2035_23959ab6,,,,,13.125,2035-08-24,,,,,,
Entity.Document.DeliveryReport,CatchMate ('arrrr' edition),,cargo_2035_23960fa9,,,,,7.5,2035-08-27,,,,,,
